"obtained","prob_obtained","unobtained","prob_unobtained","gambleid","user_pick","user_ER"
32,0.5,8,0.5,"p1","AB",50
32,0.5,8,0.5,"p1","AB",41
32,0.5,8,0.5,"p1","AB",49
32,0.5,8,0.5,"p1","AB",47
32,0.5,8,0.5,"p1","AB",50
32,0.5,8,0.5,"p1","AB",41
32,0.5,8,0.5,"p1","AB",18
32,0.5,8,0.5,"p1","AB",49
32,0.2,8,0.8,"p2","AB",30
32,0.2,8,0.8,"p2","AB",50
32,0.2,8,0.8,"p2","AB",45
32,0.2,8,0.8,"p2","AB",20
32,0.2,8,0.8,"p2","AB",41
32,0.2,8,0.8,"p3","AB",11
32,0.2,8,0.8,"p3","AB",44
32,0.2,8,0.8,"p3","AB",50
32,0.2,8,0.8,"p3","AB",33
32,0.2,8,0.8,"p3","AB",40
32,0.2,8,0.8,"p3","AB",46
32,0.2,8,0.8,"p3","AB",30
32,0.2,8,0.8,"p3","AB",13
32,0.2,8,0.8,"p3","AB",50
32,0.2,8,0.8,"p3","AB",29
32,0.5,8,0.5,"p4","AB",10
32,0.5,8,0.5,"p4","AB",46
32,0.5,8,0.5,"p4","AB",10
32,0.5,8,0.5,"p4","AB",50
32,0.5,8,0.5,"p4","AB",30
32,0.5,8,0.5,"p4","AB",16
32,0.5,8,0.5,"p4","AB",35
32,0.5,8,0.5,"p4","AB",50
32,0.5,8,0.5,"p4","AB",50
32,0.5,8,0.5,"p4","AB",50
32,0.5,8,0.5,"p4","AB",11
32,0.5,8,0.5,"p4","AB",38
32,0.5,8,0.5,"p4","AB",27
32,0.5,8,0.5,"p4","AB",40
32,0.5,8,0.5,"p4","AB",32
32,0.2,8,0.8,"p5","AB",49
32,0.2,8,0.8,"p5","AB",50
32,0.2,8,0.8,"p5","AB",23
32,0.2,8,0.8,"p5","AB",41
32,0.2,8,0.8,"p5","AB",50
32,0.2,8,0.8,"p5","AB",50
32,0.2,8,0.8,"p5","AB",50
32,0.2,8,0.8,"p5","AB",41
32,0.2,8,0.8,"p5","AB",50
32,0.2,8,0.8,"p6","AB",41
32,0.2,8,0.8,"p6","AB",45
32,0.2,8,0.8,"p6","AB",36
