Average of user_ER,,,,,,,
obtained,unobtained,Total,,,,,
-32,-8,-33.56097561,,,,Risk,
,8,-32.39705882,,,Obtained Income,-32,32
,32,-32.79878049,,,-8,7.37037037,-16.96899225
-32 Total,,-32.81318681,,,8,24.34177215,3.542372881
-8,-32,7.37037037,,,,,
,8,-15.112,,,,,
,32,-16.96899225,,,,,
-8 Total,,-13.80427046,,,,,
8,-32,24.34177215,,,,,
,-8,20.50735294,,,,,
,32,3.542372881,,,,,
8 Total,,17.95985401,,,,,
32,-32,30.41463415,,,,,
,-8,31.42635659,,,,,
,8,37.70491803
32 Total,,32.03954802
Grand Total,,2.898477157
